"sheet","preview"
"Table 1.1.1","1.1.1 Private Apartment Vacancy Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 1.1.2","1.1.2 Private Apartment Average Rents ($) || by Bedroom Type || Ontario 10,000+"
"Table 1.1.3","1.1.3 Number of Private Apartment Units in the Universe || by Bedroom Type || Ontario 10,000+"
"Table 1.1.5","1.1.5 Private Apartment Estimate of Percentage Change (%) of Average Rent || by Bedroom Type || Ontario 10,000+"
"Table 1.1.6","1.1.6 Private Apartment Turnover Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 2.1.1","2.1.1 Private Row (Townhouse) Vacancy Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 2.1.2","2.1.2 Private Row (Townhouse) Average Rents ($) || by Bedroom Type || Ontario 10,000+"
"Table 2.1.3","2.1.3 Number of Private Row (Townhouse) Units in the Universe || by Bedroom Type || Ontario 10,000+"
"Table 2.1.5","2.1.5 Private Row (Townhouse) Estimate of Percentage Change (%) of Average Rent || by Bedroom Type || Ontario 10,000+"
"Table 2.1.6","2.1.6 Private Row (Townhouse) Turnover Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 3.1.1","3.1.1 Private Row (Townhouse) and Apartment Vacancy Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 3.1.2","3.1.2 Private Row (Townhouse) and Apartment Average Rents ($) || by Bedroom Type || Ontario 10,000+"
"Table 3.1.3","3.1.3 Number of Private Row (Townhouse) and Apartment Units in the Universe || by Bedroom Type || Ontario 10,000+"
"Table 3.1.5","3.1.5 Private Row (Townhouse) and Apartment Estimate of Percentage Change (%) of Average Rent || by Bedroom Type || Ontario 10,000+"
"Table 3.1.6","3.1.6 Private Row (Townhouse) and Apartment Turnover Rates (%) || by Bedroom Type || Ontario 10,000+"
"Table 4.1.1","4.1.1 Rental Condominium Apartments and Private Apartments in the RMS || Vacancy Rates (%) || Ontario"
"Table 4.1.2","4.1.2 Rental Condominium Apartments and Private Apartments in the RMS || Average Rents ($) by Bedroom Type || Ontario - October 2019"
"Table 4.1.3","4.1.3 Rental Condominium Apartments - Average Rents ($) || by Bedroom Type || Ontario"
"Table 4.3.1","4.3.1 Condominium Universe, Rental Units, Percentage of Units in Rental and Vacancy Rate || Condominium Apartments || Ontario"
